{'midi': 21, 'frequency': 27.5, 'sharp': 'A0', 'flat': 'A0', 'isBlackKey': False}
{'midi': 22, 'frequency': 29.14, 'sharp': 'A#0', 'flat': 'Bb0', 'isBlackKey': True}
{'midi': 23, 'frequency': 30.87, 'sharp': 'B0', 'flat': 'B0', 'isBlackKey': False}
{'midi': 24, 'frequency': 32.7, 'sharp': 'C1', 'flat': 'C1', 'isBlackKey': False}
{'midi': 25, 'frequency': 34.65, 'sharp': 'C#1', 'flat': 'Db1', 'isBlackKey': True}
{'midi': 26, 'frequency': 36.71, 'sharp': 'D1', 'flat': 'D1', 'isBlackKey': False}
{'midi': 27, 'frequency': 38.89, 'sharp': 'D#1', 'flat': 'Eb1', 'isBlackKey': True}
{'midi': 28, 'frequency': 41.2, 'sharp': 'E1', 'flat': 'E1', 'isBlackKey': False}
{'midi': 29, 'frequency': 43.65, 'sharp': 'F1', 'flat': 'F1', 'isBlackKey': False}
{'midi': 30, 'frequency': 46.25, 'sharp': 'F#1', 'flat': 'Gb1', 'isBlackKey': True}
{'midi': 31, 'frequency': 49.0, 'sharp': 'G1', 'flat': 'G1', 'isBlackKey': False}
{'midi': 32, 'frequency': 51.91, 'sharp': 'G#1', 'flat': 'Ab1', 'isBlackKey': True}
{'midi': 33, 'frequency': 55.0, 'sharp': 'A1', 'flat': 'A1', 'isBlackKey': False}
{'midi': 34, 'frequency': 58.27, 'sharp': 'A#1', 'flat': 'Bb1', 'isBlackKey': True}
{'midi': 35, 'frequency': 61.74, 'sharp': 'B1', 'flat': 'B1', 'isBlackKey': False}
{'midi': 36, 'frequency': 65.41, 'sharp': 'C2', 'flat': 'C2', 'isBlackKey': False}
{'midi': 37, 'frequency': 69.3, 'sharp': 'C#2', 'flat': 'Db2', 'isBlackKey': True}
{'midi': 38, 'frequency': 73.42, 'sharp': 'D2', 'flat': 'D2', 'isBlackKey': False}
{'midi': 39, 'frequency': 77.78, 'sharp': 'D#2', 'flat': 'Eb2', 'isBlackKey': True}
{'midi': 40, 'frequency': 82.41, 'sharp': 'E2', 'flat': 'E2', 'isBlackKey': False}
{'midi': 41, 'frequency': 87.31, 'sharp': 'F2', 'flat': 'F2', 'isBlackKey': False}
{'midi': 42, 'frequency': 92.5, 'sharp': 'F#2', 'flat': 'Gb2', 'isBlackKey': True}
{'midi': 43, 'frequency': 98.0, 'sharp': 'G2', 'flat': 'G2', 'isBlackKey': False}
{'midi': 44, 'frequency': 103.83, 'sharp': 'G#2', 'flat': 'Ab2', 'isBlackKey': True}
{'midi': 45, 'frequency': 110.0, 'sharp': 'A2', 'flat': 'A2', 'isBlackKey': False}
{'midi': 46, 'frequency': 116.54, 'sharp': 'A#2', 'flat': 'Bb2', 'isBlackKey': True}
{'midi': 47, 'frequency': 123.47, 'sharp': 'B2', 'flat': 'B2', 'isBlackKey': False}
{'midi': 48, 'frequency': 130.81, 'sharp': 'C3', 'flat': 'C3', 'isBlackKey': False}
{'midi': 49, 'frequency': 138.59, 'sharp': 'C#3', 'flat': 'Db3', 'isBlackKey': True}
{'midi': 50, 'frequency': 146.83, 'sharp': 'D3', 'flat': 'D3', 'isBlackKey': False}
{'midi': 51, 'frequency': 155.56, 'sharp': 'D#3', 'flat': 'Eb3', 'isBlackKey': True}
{'midi': 52, 'frequency': 164.81, 'sharp': 'E3', 'flat': 'E3', 'isBlackKey': False}
{'midi': 53, 'frequency': 174.61, 'sharp': 'F3', 'flat': 'F3', 'isBlackKey': False}
{'midi': 54, 'frequency': 185.0, 'sharp': 'F#3', 'flat': 'Gb3', 'isBlackKey': True}
{'midi': 55, 'frequency': 196.0, 'sharp': 'G3', 'flat': 'G3', 'isBlackKey': False}
{'midi': 56, 'frequency': 207.65, 'sharp': 'G#3', 'flat': 'Ab3', 'isBlackKey': True}
{'midi': 57, 'frequency': 220.0, 'sharp': 'A3', 'flat': 'A3', 'isBlackKey': False}
{'midi': 58, 'frequency': 233.08, 'sharp': 'A#3', 'flat': 'Bb3', 'isBlackKey': True}
{'midi': 59, 'frequency': 246.94, 'sharp': 'B3', 'flat': 'B3', 'isBlackKey': False}
{'midi': 60, 'frequency': 261.63, 'sharp': 'C4', 'flat': 'C4', 'isBlackKey': False}
{'midi': 61, 'frequency': 277.18, 'sharp': 'C#4', 'flat': 'Db4', 'isBlackKey': True}
{'midi': 62, 'frequency': 293.66, 'sharp': 'D4', 'flat': 'D4', 'isBlackKey': False}
{'midi': 63, 'frequency': 311.13, 'sharp': 'D#4', 'flat': 'Eb4', 'isBlackKey': True}
{'midi': 64, 'frequency': 329.63, 'sharp': 'E4', 'flat': 'E4', 'isBlackKey': False}
{'midi': 65, 'frequency': 349.23, 'sharp': 'F4', 'flat': 'F4', 'isBlackKey': False}
{'midi': 66, 'frequency': 369.99, 'sharp': 'F#4', 'flat': 'Gb4', 'isBlackKey': True}
{'midi': 67, 'frequency': 392.0, 'sharp': 'G4', 'flat': 'G4', 'isBlackKey': False}
{'midi': 68, 'frequency': 415.3, 'sharp': 'G#4', 'flat': 'Ab4', 'isBlackKey': True}
{'midi': 69, 'frequency': 440.0, 'sharp': 'A4', 'flat': 'A4', 'isBlackKey': False}
{'midi': 70, 'frequency': 466.16, 'sharp': 'A#4', 'flat': 'Bb4', 'isBlackKey': True}
{'midi': 71, 'frequency': 493.88, 'sharp': 'B4', 'flat': 'B4', 'isBlackKey': False}
{'midi': 72, 'frequency': 523.25, 'sharp': 'C5', 'flat': 'C5', 'isBlackKey': False}
{'midi': 73, 'frequency': 554.37, 'sharp': 'C#5', 'flat': 'Db5', 'isBlackKey': True}
{'midi': 74, 'frequency': 587.33, 'sharp': 'D5', 'flat': 'D5', 'isBlackKey': False}
{'midi': 75, 'frequency': 622.25, 'sharp': 'D#5', 'flat': 'Eb5', 'isBlackKey': True}
